id_partida,ano_campeonato,Data,Mandante,Visitante,estado_mandante,estado_visitante,gols_mandante,gols_visitante,resultado_mandante,resultado_visitante,placar_status,Fase,tipo_fase,is_mata_mata,is_classico_estadual,total_gols,saldo_gols_mandante,saldo_gols_visitante,pontos_mandante,pontos_visitante
8803,1994,1994-09-10,Grêmio,Corinthians,RS,SP,0.0,1.0,D,V,NORMAL,A,Fase de Grupos,False,False,1,-1,1,0,2
8804,1994,1994-09-10,São Paulo,Botafogo,SP,RJ,4.0,1.0,V,D,NORMAL,B,Fase de Grupos,False,False,5,3,-3,2,0
8805,1994,1994-09-11,Flamengo,Criciúma,RJ,SC,1.0,1.0,E,E,NORMAL,A,Fase de Grupos,False,False,2,0,0,1,1
8806,1994,1994-09-11,Sport,Red Bull Bragantino,PE,SP,4.0,3.0,V,D,NORMAL,A,Fase de Grupos,False,False,7,1,-1,2,0
8807,1994,1994-09-11,Vitória,Portuguesa,BA,SP,0.0,0.0,E,E,NORMAL,B,Fase de Grupos,False,False,0,0,0,1,1
8808,1994,1994-09-11,Vasco,Santos,RJ,SP,0.0,0.0,E,E,NORMAL,C,Fase de Grupos,False,False,0,0,0,1,1
8809,1994,1994-09-11,Cruzeiro,Remo,MG,PA,0.0,1.0,D,V,NORMAL,C,Fase de Grupos,False,False,1,-1,1,0,2
8810,1994,1994-09-11,Palmeiras,Internacional,SP,RS,1.0,0.0,V,D,NORMAL,D,Fase de Grupos,False,False,1,1,-1,2,0
8811,1994,1994-09-11,Paraná,Fluminense,PR,RJ,2.0,3.0,D,V,NORMAL,D,Fase de Grupos,False,False,5,-1,1,0,2
8812,1994,1994-09-14,Bahia,Remo,BA,PA,1.0,0.0,V,D,NORMAL,C,Fase de Grupos,False,False,1,1,-1,2,0
8813,1994,1994-09-15,União São João,Náutico,SP,PE,0.0,0.0,E,E,NORMAL,D,Fase de Grupos,False,False,0,0,0,1,1
8814,1994,1994-09-17,Atlético Mineiro,São Paulo,MG,SP,0.0,0.0,E,E,NORMAL,B,Fase de Grupos,False,False,0,0,0,1,1
8815,1994,1994-09-17,Guarani,Vasco,SP,RJ,2.0,1.0,V,D,NORMAL,C,Fase de Grupos,False,False,3,1,-1,2,0
8816,1994,1994-09-18,Sport,Corinthians,PE,SP,2.0,0.0,V,D,NORMAL,A,Fase de Grupos,False,False,2,2,-2,2,0
8817,1994,1994-09-18,Red Bull Bragantino,Flamengo,SP,RJ,0.0,1.0,D,V,NORMAL,A,Fase de Grupos,False,False,1,-1,1,0,2
8818,1994,1994-09-18,Criciúma,Grêmio,SC,RS,1.0,0.0,V,D,NORMAL,A,Fase de Grupos,False,False,1,1,-1,2,0
8819,1994,1994-09-18,Botafogo,Portuguesa,RJ,SP,1.0,0.0,V,D,NORMAL,B,Fase de Grupos,False,False,1,1,-1,2,0
8820,1994,1994-09-18,Paysandu,Vitória,PA,BA,3.0,1.0,V,D,NORMAL,B,Fase de Grupos,False,False,4,2,-2,2,0
8821,1994,1994-09-18,Santos,Cruzeiro,SP,MG,4.0,1.0,V,D,NORMAL,C,Fase de Grupos,False,False,5,3,-3,2,0
8822,1994,1994-09-18,Palmeiras,Náutico,SP,PE,4.0,1.0,V,D,NORMAL,D,Fase de Grupos,False,False,5,3,-3,2,0
8823,1994,1994-09-18,Internacional,Paraná,RS,PR,1.0,3.0,D,V,NORMAL,D,Fase de Grupos,False,False,4,-2,2,0,2
8824,1994,1994-09-18,Fluminense,União São João,RJ,SP,2.0,2.0,E,E,NORMAL,D,Fase de Grupos,False,False,4,0,0,1,1
8825,1994,1994-09-24,São Paulo,Paysandu,SP,PA,1.0,2.0,D,V,NORMAL,B,Fase de Grupos,False,False,3,-1,1,0,2
8826,1994,1994-09-24,Paraná,Palmeiras,PR,SP,2.0,4.0,D,V,NORMAL,D,Fase de Grupos,False,False,6,-2,2,0,2
8827,1994,1994-09-24,Náutico,Fluminense,PE,RJ,2.0,1.0,V,D,NORMAL,D,Fase de Grupos,False,False,3,1,-1,2,0
